k,WCSS_KMeans,WCSS_MiniBatch,Silhouette_KMeans,Silhouette_MiniBatch,Waktu_KMeans (detik),Waktu_MiniBatch (detik)
2,217.89722018022786,232.3159709227525,0.22480889294495274,0.20540279992141616,2.5341618061065674,0.013318061828613281
3,176.46048974559505,187.36151366323566,0.24307577727710075,0.21604117791413557,0.004895687103271484,0.010539770126342773
4,151.87017904850268,160.05816594499504,0.25321638174643885,0.23234841073495807,0.005010366439819336,0.010130643844604492
5,137.31076111315366,145.71658430654793,0.25207520166206276,0.2056715879788268,0.005850791931152344,0.011185407638549805
6,123.33013205753838,137.6935953939917,0.24580402131990234,0.19123107899003242,0.0071599483489990234,0.010029792785644531
7,114.76593924610421,117.66423764202023,0.21960990833744398,0.2172532707522258,0.017790555953979492,0.011354446411132812
8,107.38839674377061,111.53240829989036,0.2315055630330778,0.22405076962724732,0.006461620330810547,0.00896310806274414
9,104.23962585367639,103.71343580892398,0.22062516340597446,0.24160478463650664,0.006883859634399414,0.012143135070800781
10,98.02543954929901,96.4070450708866,0.2238133865560165,0.23792834098361978,0.006789684295654297,0.011253833770751953
